employee_id,full_name,department,gender,age,education_level,job_level,years_at_company,monthly_salary,performance_score,job_satisfaction,promotions,training_hours,left_company,attrition_reason,hire_date
EMP0051,Employee_51,SALES,Female,23,OND,Mid-Level,5,456894,2.5,Medium,4,8.0,No,,2007-05-27
EMP0052,Employee_52,IT,Male,56,OND,Senior,5,330958,4.8,Low,4,12.0,No,,2020-04-04
EMP0053,Employee_53,Sales,Male,25,HND,Junior,14,355615,2.8,High,2,24.0,No,,2005-04-06
EMP0054,Employee_54,Network Operations,Female,44,MSc,Mid-Level,1,295374,3.1,High,3,35.0,No,,2014-02-16
EMP0055,Employee_55,Marketing,male,36,High School,Manager,13,483263,3.2,Low,0,32.0,Yes,Low Salary,2008-05-26
EMP0056,Employee_56,Network Operations,Male,26,MSc,Junior,11,294661,,Low,2,31.0,No,,2017-08-16
EMP0057,Employee_57,Finance,Male,24,BSc,Junior,7,511666,4.5,Medium,3,26.0,No,,2013-02-21
EMP0058,Employee_58,,Female,23,High School,Manager,14,381413,3.7,Medium,3,31.0,No,,2022-07-06
EMP0059,Employee_59,Marketing,Male,37,OND,Manager,9,118666,4.2,High,0,26.0,No,,2016-07-12
EMP0060,Employee_60,Sales,Male,34,High School,Senior,14,145707,2.1,High,5,28.0,Yes,Relocation,2010-08-02
EMP0061,Employee_61,HR,Female,23,BSc,Junior,7,246213,2.9,High,4,31.0,No,,2013-08-15
EMP0062,Employee_62,IT,Male,31,High School,Manager,17,416770,4.8,Low,1,10.0,No,,2013-04-27
EMP0063,Employee_63,Finance,Male,37,OND,Mid-Level,7,118883,2.1,Low,4,5.0,No,,2013-10-02
EMP0064,Employee_64,Sales,Male,30,BSc,Junior,9,315916,2.2,Low,4,36.0,No,,2009-12-22
EMP0065,Employee_65,IT,male,52,HND,Senior,15,324230,4.8,High,1,1.0,Yes,Personal,2008-02-22
EMP0066,Employee_66,Sales,male,29,MSc,Manager,6,436572,4.9,High,5,14.0,No,,2016-09-14
EMP0067,Employee_67,Finance,Male,58,HND,Junior,11,351245,4.1,High,3,18.0,Yes,Low Salary,2023-04-18
EMP0068,Employee_68,Network Operations,Male,35,BSc,Junior,18,260624,3.8,High,1,,Yes,Better Offer,2006-07-27
EMP0069,Employee_69,Marketing,Female,51,BSc,Manager,14,147284,3.8,Low,1,17.0,No,,2021-07-18
EMP0070,Employee_70,HR,Male,38,BSc,Manager,14,540303,3.0,Medium,2,14.0,No,,2020-10-08
EMP0071,Employee_71,Finance,Male,45,OND,Manager,9,514662,2.9,,2,34.0,No,,2020-05-03
EMP0072,Employee_72,Marketing,,32,BSc,Junior,12,489082,3.2,Medium,2,18.0,Yes,Work-Life Balance,2017-12-02
EMP0073,Employee_73,Network Operations,Male,29,MSc,Manager,16,369041,4.7,Medium,3,10.0,No,,2021-10-17
EMP0074,Employee_74,Finance,Female,32,OND,Manager,16,415436,3.9,Low,1,29.0,Yes,Relocation,2023-11-20
EMP0075,Employee_75,Customer Service,Female,41,BSc,Junior,13,388169,2.2,Low,0,36.0,No,,2009-02-25
EMP0076,Employee_76,HR,Female,28,OND,Junior,5,175401,3.3,Low,1,31.0,Yes,Career Growth,2019-03-06
EMP0077,Employee_77,Sales,Male,23,MSc,Senior,6,482538,3.2,High,3,35.0,Yes,Career Growth,2011-04-05
EMP0078,Employee_78,Sales,,41,MSc,Mid-Level,4,147650,4.6,Low,2,32.0,No,,2006-07-03
EMP0079,Employee_79,,Male,58,OND,Junior,8,306816,2.6,High,3,7.0,No,,2018-04-27
EMP0080,Employee_80,Customer Service,Female,46,High School,Mid-Level,1,343645,,Medium,2,36.0,Yes,Poor Management,2009-10-09
EMP0081,Employee_81,Marketing,Female,47,HND,Senior,15,535192,4.1,Low,3,7.0,No,,2015-12-26
EMP0082,Employee_82,Network Operations,Male,34,BSc,Senior,11,109052,1.6,High,0,17.0,Yes,Career Growth,2007-02-13
EMP0083,Employee_83,Sales,female,26,HND,Manager,17,515888,1.2,High,2,34.0,No,,2022-07-18
EMP0084,Employee_84,Marketing,Female,37,MSc,Senior,3,145096,4.8,High,2,,No,,2015-05-17
EMP0085,Employee_85,Customer Service,female,28,HND,Manager,16,351634,1.3,Low,1,34.0,No,,2019-01-26
EMP0086,Employee_86,Marketing,male,41,High School,Manager,3,160224,4.7,Medium,5,2.0,Yes,Work-Life Balance,2023-09-26
EMP0087,Employee_87,Sales,Male,29,HND,Junior,9,239448,3.6,,5,28.0,Yes,Work-Life Balance,2018-02-14
EMP0088,Employee_88,IT,Female,58,HND,Junior,2,166327,,High,3,34.0,No,,2009-03-19
EMP0089,Employee_89,Network Operations,Male,24,MSc,Mid-Level,5,164917,1.9,Medium,4,13.0,No,,2023-10-25
EMP0090,Employee_90,IT,Male,44,MSc,Manager,8,249167,4.3,Medium,4,27.0,No,,2008-02-19
EMP0091,Employee_91,HR,Male,56,BSc,Manager,14,451894,2.1,Medium,1,,No,,2008-05-28
EMP0092,Employee_92,Marketing,Female,49,OND,Mid-Level,16,198211,3.2,Medium,3,15.0,Yes,Career Growth,2022-06-14
EMP0093,Employee_93,Network Operations,Male,45,BSc,Manager,4,261415,2.1,High,0,,No,,2013-07-21
EMP0094,Employee_94,Customer Service,Female,26,MSc,Senior,13,352051,1.4,High,1,,Yes,Relocation,2020-10-20
EMP0095,Employee_95,Network Operations,male,54,BSc,Manager,2,549198,4.0,Medium,2,28.0,Yes,Personal,2020-01-06
EMP0096,Employee_96,Network Operations,Male,43,HND,Manager,7,228923,2.0,Medium,0,16.0,No,,2013-07-05
EMP0097,Employee_97,Customer Service,Female,22,HND,Manager,14,523512,1.2,,3,22.0,Yes,Low Salary,2017-01-13
EMP0098,Employee_98,HR,Female,48,MSc,Junior,11,121345,4.6,Medium,2,5.0,No,,2015-12-08
EMP0099,Employee_99,Network Operations,Male,53,MSc,Senior,0,211389,1.9,High,4,28.0,No,,2006-12-16
EMP0100,Employee_100,HR,Female,75,BSc,Manager,13,182918,1.9,,3,7.0,No,,2013-06-01
EMP0101,Employee_101,HR,Female,49,BSc,Senior,1,412952,1.4,Medium,2,15.0,No,,2015-05-10
EMP0102,Employee_102,HR,,45,HND,Senior,12,368799,2.3,Low,3,13.0,No,,2013-08-28
EMP0103,Employee_103,SALES,Female,51,OND,Senior,16,223891,2.9,High,2,37.0,Yes,Poor Management,2008-04-05
EMP0104,Employee_104,Finance,Male,31,OND,Mid-Level,11,145625,3.7,,3,22.0,No,,2014-12-15
EMP0105,Employee_105,HR,Male,49,MSc,Manager,7,407691,1.5,Medium,5,39.0,No,,2015-05-24
EMP0106,Employee_106,Customer Service,Female,33,BSc,Junior,12,238767,,Low,4,40.0,Yes,Work-Life Balance,2018-10-21
EMP0107,Employee_107,Finance,Male,55,OND,Junior,2,402137,4.9,Medium,1,27.0,No,,2007-04-15
EMP0108,Employee_108,HR,Male,39,BSc,Junior,11,359696,1.6,Medium,2,10.0,No,,2011-07-24
EMP0109,Employee_109,Customer Service,Male,56,High School,Junior,7,128983,3.6,Medium,2,39.0,Yes,Poor Management,2020-09-28
EMP0110,Employee_110,,,52,HND,Manager,0,343493,4.5,Low,4,8.0,No,,2016-01-17
EMP0111,Employee_111,IT,Female,51,BSc,Junior,10,416062,2.9,High,5,13.0,No,,2010-02-10
EMP0112,Employee_112,IT,,49,BSc,Senior,3,168413,3.6,Low,1,13.0,No,,2021-07-05
EMP0113,Employee_113,Network Operations,Female,39,BSc,Mid-Level,10,950000,4.0,High,3,3.0,No,,2021-10-01
EMP0114,Employee_114,,Male,42,OND,Junior,4,384425,,Low,2,36.0,No,,2010-04-27
EMP0115,Employee_115,HR,Female,37,BSc,Senior,4,160842,2.1,Low,1,22.0,No,,2011-01-08
EMP0116,Employee_116,Finance,Female,27,High School,Junior,1,169758,1.2,Medium,3,34.0,No,,2006-08-02
EMP0117,Employee_117,Customer Service,Female,39,OND,Manager,9,425365,4.1,High,2,17.0,Yes,Poor Management,2016-12-07
EMP0118,Employee_118,HR,Male,50,MSc,Senior,15,407406,3.6,High,2,38.0,No,,2013-06-27
EMP0119,Employee_119,Network Operations,Male,37,MSc,Manager,4,457819,1.9,High,5,34.0,Yes,Work-Life Balance,2019-09-13
EMP0120,Employee_120,Marketing,Female,51,HND,Junior,15,397267,4.0,High,5,10.0,No,,2008-11-01
EMP0121,Employee_121,Marketing,,58,High School,Senior,14,257009,,Medium,5,,No,,2012-06-16
EMP0122,Employee_122,MARKETING,Male,46,BSc,Senior,0,521728,1.1,Medium,3,18.0,No,,2019-03-28
EMP0123,Employee_123,Sales,Male,43,High School,Senior,2,375498,4.7,Low,4,,Yes,Personal,2020-10-18
EMP0124,Employee_124,Customer Service,Female,23,MSc,Junior,0,101597,2.7,Low,1,36.0,No,,2016-06-06
EMP0125,Employee_125,Marketing,Male,53,BSc,Mid-Level,8,512661,4.4,Medium,2,,No,,2013-12-27
EMP0126,Employee_126,Sales,Female,42,High School,Mid-Level,6,532870,4.7,Low,3,,No,,2007-05-01
EMP0127,Employee_127,MARKETING,Male,33,OND,Manager,4,94875,1.1,Medium,2,6.0,No,,2017-01-06
EMP0128,Employee_128,Network Operations,Female,53,BSc,Mid-Level,17,122584,4.3,High,3,8.0,No,,2023-04-28
EMP0129,Employee_129,IT,Female,35,OND,Junior,16,103835,4.2,Low,2,26.0,Yes,Low Salary,2012-11-08
EMP0130,Employee_130,Network Operations,Male,44,High School,Senior,13,416306,1.7,Medium,0,3.0,No,,2011-05-21
EMP0131,Employee_131,Sales,Male,38,BSc,Senior,3,484237,4.0,High,4,17.0,No,,2018-09-01
EMP0132,Employee_132,Customer Service,Male,43,HND,Junior,9,382394,4.5,High,1,8.0,No,,2005-08-05
EMP0133,Employee_133,Finance,,39,HND,Senior,7,218755,2.2,High,4,8.0,No,,2010-10-26
EMP0134,Employee_134,HR,Male,39,MSc,Mid-Level,9,421379,1.1,Medium,4,15.0,Yes,Low Salary,2005-04-09
EMP0135,Employee_135,Network Operations,Female,57,BSc,Manager,3,190524,2.2,Medium,1,9.0,Yes,Work-Life Balance,2014-12-23
EMP0136,Employee_136,Customer Service,Male,22,High School,Junior,1,482107,3.4,Medium,5,20.0,Yes,Career Growth,2013-07-13
EMP0137,Employee_137,HR,Female,55,HND,Senior,7,379964,4.7,High,4,15.0,Yes,Relocation,2016-08-09
EMP0138,Employee_138,IT,,34,MSc,Junior,13,298411,2.3,High,0,25.0,No,,2011-08-10
EMP0139,Employee_139,IT,Male,27,BSc,Mid-Level,14,404066,2.8,,5,31.0,No,,2021-10-13
EMP0140,Employee_140,HR,Female,37,HND,Senior,2,415015,3.6,Medium,3,,No,,2023-02-01
EMP0141,Employee_141,IT,Female,48,BSc,Senior,3,95878,3.1,Medium,5,36.0,No,,2021-11-27
EMP0142,Employee_142,Customer Service,Male,53,MSc,Senior,15,341115,4.6,Low,1,40.0,No,,2016-09-21
EMP0143,Employee_143,Network Operations,Female,57,High School,Senior,17,546090,1.5,High,3,17.0,No,,2014-05-22
EMP0144,Employee_144,Customer Service,Male,37,MSc,Junior,0,408814,3.0,Medium,2,40.0,No,,2008-08-03
EMP0145,Employee_145,Customer Service,Male,52,High School,Mid-Level,16,366039,2.1,Low,5,26.0,No,,2015-05-21
EMP0146,Employee_146,HR,Male,53,OND,Mid-Level,18,231871,4.2,Low,0,24.0,No,,2015-05-09
EMP0147,Employee_147,Finance,Female,50,HND,Manager,7,416544,,High,3,28.0,No,,2014-04-05
EMP0148,Employee_148,Finance,,23,OND,Junior,4,238384,3.9,High,5,4.0,Yes,Relocation,2021-04-02
EMP0149,Employee_149,,Male,27,High School,Mid-Level,9,333202,3.6,Medium,3,40.0,No,,2017-11-11
EMP0150,Employee_150,HR,Male,40,BSc,Junior,13,208386,3.9,Low,1,5.0,Yes,Career Growth,2009-12-01
EMP0151,Employee_151,Finance,Male,36,High School,Junior,0,501888,1.1,High,5,25.0,Yes,Poor Management,2020-05-09
EMP0152,Employee_152,IT,Male,47,High School,Mid-Level,11,503283,2.3,High,2,32.0,No,,2018-07-13
EMP0153,Employee_153,,Female,37,BSc,Manager,7,439132,2.2,Low,1,17.0,No,,2006-10-23
EMP0154,Employee_154,IT,male,41,OND,Manager,18,292909,3.7,High,2,23.0,No,,2023-04-11
EMP0155,Employee_155,Network Operations,Male,45,HND,Manager,13,235941,1.8,Low,5,29.0,No,,2012-11-18
EMP0156,Employee_156,Customer Service,Female,52,High School,Senior,5,317787,,Low,1,31.0,No,,2020-11-12
EMP0157,Employee_157,Customer Service,Female,57,High School,Mid-Level,2,118258,3.6,High,5,20.0,No,,2021-05-28
EMP0158,Employee_158,Finance,Male,55,HND,Senior,16,441031,2.6,Low,3,37.0,Yes,Personal,2010-11-18
EMP0159,Employee_159,IT,Female,44,High School,Senior,11,111411,2.7,Low,3,0.0,No,,2010-05-04
EMP0160,Employee_160,Sales,Male,49,HND,Senior,2,162879,2.3,Medium,0,,Yes,Relocation,2020-03-24
EMP0161,Employee_161,Marketing,Male,57,HND,Junior,16,310479,2.6,Low,3,29.0,No,,2013-12-26
EMP0162,Employee_162,Sales,Female,43,HND,Junior,17,297905,1.4,High,4,40.0,Yes,Career Growth,2022-03-22
EMP0163,Employee_163,Marketing,Male,44,BSc,Mid-Level,16,333887,4.9,Low,3,22.0,Yes,Personal,2015-11-03
EMP0164,Employee_164,Sales,Female,51,OND,Mid-Level,16,323501,2.9,Low,4,4.0,No,,2012-06-08
EMP0165,Employee_165,Customer Service,,39,OND,Junior,17,186966,4.7,High,3,34.0,No,,2014-07-26
EMP0166,Employee_166,,Male,41,MSc,Junior,0,258358,1.0,,4,25.0,Yes,Poor Management,2015-06-09
EMP0167,Employee_167,Customer Service,Female,38,BSc,Senior,12,398064,2.5,Low,4,13.0,No,,2023-05-15
EMP0168,Employee_168,Marketing,Female,36,MSc,Manager,15,155323,2.8,Low,5,27.0,No,,2008-08-02
EMP0169,Employee_169,HR,Female,29,OND,Manager,1,243883,2.1,High,3,,No,,2023-10-20
EMP0170,Employee_170,IT,Male,34,OND,Manager,12,531666,2.3,,4,31.0,No,,2007-08-07
EMP0171,Employee_171,Finance,male,42,OND,Manager,11,456629,3.3,Medium,0,,No,,2021-02-28
EMP0172,Employee_172,SALES,Male,29,High School,Manager,8,247413,3.3,Low,2,20.0,Yes,Relocation,2017-09-10
EMP0173,Employee_173,IT,Male,56,MSc,Senior,0,464932,2.0,High,5,18.0,No,,2018-01-28
EMP0174,Employee_174,IT,Female,33,BSc,Mid-Level,11,531295,2.4,High,4,21.0,No,,2009-03-07
EMP0175,Employee_175,Finance,Female,34,MSc,Junior,2,261073,1.9,High,4,35.0,No,,2015-07-19
EMP0176,Employee_176,,Female,35,OND,Senior,11,289042,3.7,High,5,36.0,No,,2019-03-11
EMP0177,Employee_177,Finance,Male,52,BSc,Manager,7,148559,2.9,Medium,0,8.0,Yes,Relocation,2010-02-16
EMP0178,Employee_178,Network Operations,Female,39,MSc,Junior,3,478807,1.6,High,0,36.0,No,,2015-11-06
EMP0179,Employee_179,Finance,Female,55,OND,Senior,18,274269,3.7,Medium,1,31.0,Yes,Career Growth,2015-11-02
EMP0180,Employee_180,MARKETING,Female,40,OND,Manager,10,349997,4.7,Low,5,21.0,No,,2005-08-09
EMP0181,Employee_181,Sales,Female,28,BSc,Senior,4,374466,4.6,,5,3.0,No,,2011-03-19
EMP0182,Employee_182,HR,Male,34,HND,Junior,1,135670,4.1,High,2,2.0,No,,2010-08-26
EMP0183,Employee_183,,Male,40,BSc,Mid-Level,11,247308,3.8,High,1,6.0,Yes,Relocation,2007-03-20
EMP0184,Employee_184,Sales,,36,HND,Manager,17,206740,3.6,Medium,5,40.0,Yes,Low Salary,2018-11-14
EMP0185,Employee_185,HR,Male,45,High School,Junior,10,324565,4.8,Low,4,29.0,No,,2017-07-16
EMP0186,Employee_186,Finance,Female,33,BSc,Junior,5,144236,2.5,Low,0,1.0,Yes,Low Salary,2017-01-02
EMP0187,Employee_187,Marketing,Male,41,HND,Mid-Level,14,220232,,High,4,7.0,No,,2022-04-24
EMP0188,Employee_188,Network Operations,Male,22,MSc,Senior,15,315717,4.8,High,5,10.0,No,,2016-01-11
EMP0189,Employee_189,Marketing,,56,OND,Mid-Level,5,209980,2.9,Medium,5,28.0,No,,2021-04-01
EMP0190,Employee_190,HR,female,30,High School,Mid-Level,4,153860,2.8,High,5,29.0,No,,2005-11-24
EMP0191,Employee_191,Network Operations,Female,39,BSc,Senior,2,130757,5.0,Medium,3,,Yes,Low Salary,2012-04-23
EMP0192,Employee_192,Sales,Female,24,HND,Senior,14,106531,2.5,Low,2,27.0,Yes,Career Growth,2016-05-05
EMP0193,Employee_193,Network Operations,Male,25,MSc,Senior,1,232154,3.8,,3,12.0,No,,2008-07-17
EMP0194,Employee_194,IT,Female,57,HND,Junior,9,281405,4.7,High,0,8.0,Yes,Relocation,2023-05-06
EMP0195,Employee_195,Customer Service,Male,40,BSc,Junior,6,533070,4.0,,0,19.0,Yes,Poor Management,2007-01-10
EMP0196,Employee_196,IT,Female,30,HND,Manager,1,402635,4.2,,0,10.0,No,,2014-08-24
EMP0197,Employee_197,,Male,53,BSc,Manager,6,299223,4.3,Low,2,17.0,Yes,Relocation,2021-10-17
EMP0198,Employee_198,HR,Female,28,HND,Mid-Level,1,210165,4.0,Low,1,5.0,Yes,Poor Management,2015-07-22
EMP0199,Employee_199,HR,,22,OND,Mid-Level,10,533670,3.7,Low,4,23.0,No,,2009-06-16
EMP0200,Employee_200,Network Operations,,58,BSc,Manager,9,163728,3.4,High,5,,No,,2016-04-06
EMP0201,Employee_201,Finance,female,-1,BSc,Mid-Level,16,506496,4.1,Low,4,5.0,No,,2017-01-08
EMP0202,Employee_202,Marketing,Female,52,High School,Senior,12,251670,3.1,Low,4,23.0,Yes,Relocation,2012-12-05
EMP0203,Employee_203,Customer Service,Male,52,OND,Junior,17,382874,3.1,Low,4,10.0,No,,2011-12-01
EMP0204,Employee_204,,Female,50,BSc,Manager,15,1200000,2.4,High,5,3.0,No,,2023-09-06
EMP0205,Employee_205,Sales,,43,MSc,Junior,8,243952,4.7,High,4,25.0,Yes,Low Salary,2008-06-23
EMP0206,Employee_206,Marketing,Male,33,HND,Manager,1,179527,1.4,Medium,1,40.0,No,,2006-07-21
EMP0207,Employee_207,HR,Female,25,MSc,Junior,6,480095,4.3,Medium,3,19.0,Yes,Relocation,2013-09-20
EMP0208,Employee_208,Network Operations,Female,38,HND,Manager,9,163541,,Medium,2,14.0,No,,2006-10-02
EMP0209,Employee_209,Marketing,Female,52,HND,Junior,11,341234,1.8,Medium,3,27.0,No,,2008-11-27
EMP0210,Employee_210,HR,,29,High School,Senior,1,349864,3.1,Low,3,5.0,Yes,Relocation,2005-01-23
EMP0211,Employee_211,Finance,Female,26,BSc,Manager,10,324745,,Medium,5,6.0,No,,2008-07-15
EMP0212,Employee_212,,Female,47,HND,Manager,8,341493,4.4,Medium,4,0.0,No,,2017-02-18
EMP0213,Employee_213,Customer Service,Male,53,High School,Manager,3,540888,2.8,Medium,5,,Yes,Low Salary,2013-08-23
EMP0214,Employee_214,Customer Service,Male,26,MSc,Senior,11,241764,3.7,High,4,30.0,No,,2009-04-23
EMP0215,Employee_215,Network Operations,Female,58,High School,Junior,13,340765,3.9,Low,1,4.0,Yes,Career Growth,2005-05-14
EMP0216,Employee_216,Marketing,Female,25,MSc,Manager,12,92151,3.0,High,2,,No,,2008-11-17
EMP0217,Employee_217,Customer Service,Male,31,BSc,Junior,14,127211,4.6,Low,0,37.0,No,,2013-10-20
EMP0218,Employee_218,Finance,Female,31,HND,Senior,12,286172,2.8,Medium,3,14.0,No,,2009-07-27
EMP0219,Employee_219,,Female,58,OND,Mid-Level,10,344998,1.2,,0,,No,,2008-09-24
EMP0220,Employee_220,Finance,Male,41,MSc,Manager,5,319720,1.5,Low,2,28.0,No,,2008-05-04
EMP0221,Employee_221,Sales,Female,27,HND,Senior,15,206211,2.7,High,3,0.0,No,,2008-08-07
EMP0222,Employee_222,,Female,37,OND,Junior,15,192797,3.3,,0,0.0,No,,2011-05-27
EMP0223,Employee_223,NETWORK OPERATIONS,Male,29,OND,Manager,11,385840,3.2,Low,0,21.0,No,,2021-04-12
EMP0224,Employee_224,IT,Female,57,MSc,Junior,16,265018,3.7,Low,5,7.0,Yes,Career Growth,2018-05-06
EMP0225,Employee_225,Sales,Female,48,HND,Mid-Level,8,105510,2.2,Medium,1,27.0,No,,2006-09-16
EMP0226,Employee_226,Sales,Female,36,OND,Manager,2,106497,1.1,Medium,2,8.0,Yes,Relocation,2011-12-16
EMP0227,Employee_227,,Female,55,High School,Manager,13,227511,2.0,Medium,2,30.0,No,,2015-04-01
EMP0228,Employee_228,Marketing,Female,46,High School,Junior,2,339467,1.0,High,2,,No,,2005-11-03
EMP0229,Employee_229,Marketing,male,50,HND,Manager,13,393271,1.9,Medium,3,14.0,No,,2008-10-22
EMP0230,Employee_230,Network Operations,,50,BSc,Senior,5,542599,1.3,Low,1,24.0,No,,2020-03-03
EMP0231,Employee_231,Customer Service,Male,41,High School,Senior,17,521895,2.7,High,4,5.0,No,,2021-02-24
EMP0232,Employee_232,Sales,Male,49,MSc,Mid-Level,9,423020,3.8,Low,3,6.0,No,,2008-05-21
EMP0233,Employee_233,Customer Service,Female,41,HND,Senior,10,432594,,High,2,6.0,Yes,Relocation,2012-08-10
EMP0234,Employee_234,,Female,58,OND,Mid-Level,3,326723,1.2,Low,3,20.0,No,,2013-08-02
EMP0235,Employee_235,Sales,male,25,High School,Junior,2,229814,4.6,Low,0,23.0,No,,2008-03-28
EMP0236,Employee_236,Sales,Male,28,HND,Junior,10,361380,4.9,Medium,3,19.0,No,,2006-05-12
