employee_id,full_name,department,gender,age,education_level,job_level,years_at_company,monthly_salary,performance_score,job_satisfaction,promotions,training_hours,left_company,attrition_reason,hire_date,age_group,salary_band,tenure_group,perf_band
EMP0098,Employee_98,Hr,Female,48,Msc,Junior,11,121345,4.6,Medium,2,5,No,,2015-12-08,40-49,Entry (<150k),10+ Years,Outstanding
EMP0099,Employee_99,Network Operations,Male,53,Msc,Senior,0,211389,1.9,High,4,28,No,,2006-12-16,50+,Mid (150k-300k),0-2 Years,Poor
EMP0100,Employee_100,Hr,Female,40,Bsc,Manager,13,182918,1.9,High,3,7,No,,2013-06-01,40-49,Mid (150k-300k),10+ Years,Poor
EMP0101,Employee_101,Hr,Female,49,Bsc,Senior,1,412952,1.4,Medium,2,15,No,,2015-05-10,40-49,Senior (300k-450k),0-2 Years,Poor
EMP0102,Employee_102,Hr,Male,45,Hnd,Senior,12,368799,2.3,Low,3,13,No,,2013-08-28,40-49,Senior (300k-450k),10+ Years,Poor
EMP0103,Employee_103,Sales,Female,51,Ond,Senior,16,223891,2.9,High,2,37,Yes,Poor Management,2008-04-05,50+,Mid (150k-300k),10+ Years,Average
EMP0104,Employee_104,Finance,Male,31,Ond,Mid-Level,11,145625,3.7,High,3,22,No,,2014-12-15,30-39,Entry (<150k),10+ Years,Good
EMP0105,Employee_105,Hr,Male,49,Msc,Manager,7,407691,1.5,Medium,5,39,No,,2015-05-24,40-49,Senior (300k-450k),6-10 Years,Poor
EMP0106,Employee_106,Customer Service,Female,33,Bsc,Junior,12,238767,3.1,Low,4,40,Yes,Work-Life Balance,2018-10-21,30-39,Mid (150k-300k),10+ Years,Average
EMP0107,Employee_107,Finance,Male,55,Ond,Junior,2,402137,4.9,Medium,1,27,No,,2007-04-15,50+,Senior (300k-450k),0-2 Years,Outstanding
EMP0108,Employee_108,Hr,Male,39,Bsc,Junior,11,359696,1.6,Medium,2,10,No,,2011-07-24,30-39,Senior (300k-450k),10+ Years,Poor
EMP0109,Employee_109,Customer Service,Male,56,High School,Junior,7,128983,3.6,Medium,2,39,Yes,Poor Management,2020-09-28,50+,Entry (<150k),6-10 Years,Good
EMP0110,Employee_110,Customer Service,Male,52,Hnd,Manager,0,343493,4.5,Low,4,8,No,,2016-01-17,50+,Senior (300k-450k),0-2 Years,Outstanding
EMP0111,Employee_111,It,Female,51,Bsc,Junior,10,416062,2.9,High,5,13,No,,2010-02-10,50+,Senior (300k-450k),6-10 Years,Average
EMP0112,Employee_112,It,Male,49,Bsc,Senior,3,168413,3.6,Low,1,13,No,,2021-07-05,40-49,Mid (150k-300k),3-5 Years,Good
EMP0113,Employee_113,Network Operations,Female,39,Bsc,Mid-Level,10,740726,4.0,High,3,3,No,,2021-10-01,30-39,Executive (450k+),6-10 Years,Good
EMP0114,Employee_114,Customer Service,Male,42,Ond,Junior,4,384425,3.1,Low,2,36,No,,2010-04-27,40-49,Senior (300k-450k),3-5 Years,Average
EMP0115,Employee_115,Hr,Female,37,Bsc,Senior,4,160842,2.1,Low,1,22,No,,2011-01-08,30-39,Mid (150k-300k),3-5 Years,Poor
EMP0116,Employee_116,Finance,Female,27,High School,Junior,1,169758,1.2,Medium,3,34,No,,2006-08-02,20-29,Mid (150k-300k),0-2 Years,Poor
EMP0117,Employee_117,Customer Service,Female,39,Ond,Manager,9,425365,4.1,High,2,17,Yes,Poor Management,2016-12-07,30-39,Senior (300k-450k),6-10 Years,Good
EMP0118,Employee_118,Hr,Male,50,Msc,Senior,15,407406,3.6,High,2,38,No,,2013-06-27,50+,Senior (300k-450k),10+ Years,Good
EMP0119,Employee_119,Network Operations,Male,37,Msc,Manager,4,457819,1.9,High,5,34,Yes,Work-Life Balance,2019-09-13,30-39,Executive (450k+),3-5 Years,Poor
EMP0120,Employee_120,Marketing,Female,51,Hnd,Junior,15,397267,4.0,High,5,10,No,,2008-11-01,50+,Senior (300k-450k),10+ Years,Good
EMP0121,Employee_121,Marketing,Male,58,High School,Senior,14,257009,3.1,Medium,5,22,No,,2012-06-16,50+,Mid (150k-300k),10+ Years,Average
EMP0122,Employee_122,Marketing,Male,46,Bsc,Senior,0,521728,1.1,Medium,3,18,No,,2019-03-28,40-49,Executive (450k+),0-2 Years,Poor
EMP0123,Employee_123,Sales,Male,43,High School,Senior,2,375498,4.7,Low,4,22,Yes,Personal,2020-10-18,40-49,Senior (300k-450k),0-2 Years,Outstanding
EMP0124,Employee_124,Customer Service,Female,23,Msc,Junior,0,101597,2.7,Low,1,36,No,,2016-06-06,20-29,Entry (<150k),0-2 Years,Average
EMP0125,Employee_125,Marketing,Male,53,Bsc,Mid-Level,8,512661,4.4,Medium,2,22,No,,2013-12-27,50+,Executive (450k+),6-10 Years,Good
EMP0126,Employee_126,Sales,Female,42,High School,Mid-Level,6,532870,4.7,Low,3,22,No,,2007-05-01,40-49,Executive (450k+),6-10 Years,Outstanding
EMP0127,Employee_127,Marketing,Male,33,Ond,Manager,4,94875,1.1,Medium,2,6,No,,2017-01-06,30-39,Entry (<150k),3-5 Years,Poor
EMP0128,Employee_128,Network Operations,Female,53,Bsc,Mid-Level,17,122584,4.3,High,3,8,No,,2023-04-28,50+,Entry (<150k),10+ Years,Good
EMP0129,Employee_129,It,Female,35,Ond,Junior,16,103835,4.2,Low,2,26,Yes,Low Salary,2012-11-08,30-39,Entry (<150k),10+ Years,Good
EMP0130,Employee_130,Network Operations,Male,44,High School,Senior,13,416306,1.7,Medium,0,3,No,,2011-05-21,40-49,Senior (300k-450k),10+ Years,Poor
EMP0131,Employee_131,Sales,Male,38,Bsc,Senior,3,484237,4.0,High,4,17,No,,2018-09-01,30-39,Executive (450k+),3-5 Years,Good
EMP0132,Employee_132,Customer Service,Male,43,Hnd,Junior,9,382394,4.5,High,1,8,No,,2005-08-05,40-49,Senior (300k-450k),6-10 Years,Outstanding
EMP0133,Employee_133,Finance,Male,39,Hnd,Senior,7,218755,2.2,High,4,8,No,,2010-10-26,30-39,Mid (150k-300k),6-10 Years,Poor
EMP0134,Employee_134,Hr,Male,39,Msc,Mid-Level,9,421379,1.1,Medium,4,15,Yes,Low Salary,2005-04-09,30-39,Senior (300k-450k),6-10 Years,Poor
EMP0135,Employee_135,Network Operations,Female,57,Bsc,Manager,3,190524,2.2,Medium,1,9,Yes,Work-Life Balance,2014-12-23,50+,Mid (150k-300k),3-5 Years,Poor
EMP0136,Employee_136,Customer Service,Male,22,High School,Junior,1,482107,3.4,Medium,5,20,Yes,Career Growth,2013-07-13,20-29,Executive (450k+),0-2 Years,Average
EMP0137,Employee_137,Hr,Female,55,Hnd,Senior,7,379964,4.7,High,4,15,Yes,Relocation,2016-08-09,50+,Senior (300k-450k),6-10 Years,Outstanding
EMP0138,Employee_138,It,Male,34,Msc,Junior,13,298411,2.3,High,0,25,No,,2011-08-10,30-39,Mid (150k-300k),10+ Years,Poor
EMP0139,Employee_139,It,Male,27,Bsc,Mid-Level,14,404066,2.8,High,5,31,No,,2021-10-13,20-29,Senior (300k-450k),10+ Years,Average
EMP0140,Employee_140,Hr,Female,37,Hnd,Senior,2,415015,3.6,Medium,3,22,No,,2023-02-01,30-39,Senior (300k-450k),0-2 Years,Good
EMP0141,Employee_141,It,Female,48,Bsc,Senior,3,95878,3.1,Medium,5,36,No,,2021-11-27,40-49,Entry (<150k),3-5 Years,Average
EMP0142,Employee_142,Customer Service,Male,53,Msc,Senior,15,341115,4.6,Low,1,40,No,,2016-09-21,50+,Senior (300k-450k),10+ Years,Outstanding
EMP0143,Employee_143,Network Operations,Female,57,High School,Senior,17,546090,1.5,High,3,17,No,,2014-05-22,50+,Executive (450k+),10+ Years,Poor
EMP0144,Employee_144,Customer Service,Male,37,Msc,Junior,0,408814,3.0,Medium,2,40,No,,2008-08-03,30-39,Senior (300k-450k),0-2 Years,Average
EMP0145,Employee_145,Customer Service,Male,52,High School,Mid-Level,16,366039,2.1,Low,5,26,No,,2015-05-21,50+,Senior (300k-450k),10+ Years,Poor
EMP0146,Employee_146,Hr,Male,53,Ond,Mid-Level,18,231871,4.2,Low,0,24,No,,2015-05-09,50+,Mid (150k-300k),10+ Years,Good
EMP0147,Employee_147,Finance,Female,50,Hnd,Manager,7,416544,3.1,High,3,28,No,,2014-04-05,50+,Senior (300k-450k),6-10 Years,Average
EMP0148,Employee_148,Finance,Male,23,Ond,Junior,4,238384,3.9,High,5,4,Yes,Relocation,2021-04-02,20-29,Mid (150k-300k),3-5 Years,Good
EMP0149,Employee_149,Customer Service,Male,27,High School,Mid-Level,9,333202,3.6,Medium,3,40,No,,2017-11-11,20-29,Senior (300k-450k),6-10 Years,Good
EMP0150,Employee_150,Hr,Male,40,Bsc,Junior,13,208386,3.9,Low,1,5,Yes,Career Growth,2009-12-01,40-49,Mid (150k-300k),10+ Years,Good
EMP0151,Employee_151,Finance,Male,36,High School,Junior,0,501888,1.1,High,5,25,Yes,Poor Management,2020-05-09,30-39,Executive (450k+),0-2 Years,Poor
EMP0152,Employee_152,It,Male,47,High School,Mid-Level,11,503283,2.3,High,2,32,No,,2018-07-13,40-49,Executive (450k+),10+ Years,Poor
EMP0153,Employee_153,Customer Service,Female,37,Bsc,Manager,7,439132,2.2,Low,1,17,No,,2006-10-23,30-39,Senior (300k-450k),6-10 Years,Poor
EMP0154,Employee_154,It,Male,41,Ond,Manager,18,292909,3.7,High,2,23,No,,2023-04-11,40-49,Mid (150k-300k),10+ Years,Good
EMP0155,Employee_155,Network Operations,Male,45,Hnd,Manager,13,235941,1.8,Low,5,29,No,,2012-11-18,40-49,Mid (150k-300k),10+ Years,Poor
EMP0156,Employee_156,Customer Service,Female,52,High School,Senior,5,317787,3.1,Low,1,31,No,,2020-11-12,50+,Senior (300k-450k),3-5 Years,Average
EMP0157,Employee_157,Customer Service,Female,57,High School,Mid-Level,2,118258,3.6,High,5,20,No,,2021-05-28,50+,Entry (<150k),0-2 Years,Good
EMP0158,Employee_158,Finance,Male,55,Hnd,Senior,16,441031,2.6,Low,3,37,Yes,Personal,2010-11-18,50+,Senior (300k-450k),10+ Years,Average
EMP0159,Employee_159,It,Female,44,High School,Senior,11,111411,2.7,Low,3,0,No,,2010-05-04,40-49,Entry (<150k),10+ Years,Average
EMP0160,Employee_160,Sales,Male,49,Hnd,Senior,2,162879,2.3,Medium,0,22,Yes,Relocation,2020-03-24,40-49,Mid (150k-300k),0-2 Years,Poor
EMP0161,Employee_161,Marketing,Male,57,Hnd,Junior,16,310479,2.6,Low,3,29,No,,2013-12-26,50+,Senior (300k-450k),10+ Years,Average
EMP0162,Employee_162,Sales,Female,43,Hnd,Junior,17,297905,1.4,High,4,40,Yes,Career Growth,2022-03-22,40-49,Mid (150k-300k),10+ Years,Poor
EMP0163,Employee_163,Marketing,Male,44,Bsc,Mid-Level,16,333887,4.9,Low,3,22,Yes,Personal,2015-11-03,40-49,Senior (300k-450k),10+ Years,Outstanding
EMP0164,Employee_164,Sales,Female,51,Ond,Mid-Level,16,323501,2.9,Low,4,4,No,,2012-06-08,50+,Senior (300k-450k),10+ Years,Average
EMP0165,Employee_165,Customer Service,Male,39,Ond,Junior,17,186966,4.7,High,3,34,No,,2014-07-26,30-39,Mid (150k-300k),10+ Years,Outstanding
EMP0166,Employee_166,Customer Service,Male,41,Msc,Junior,0,258358,1.0,High,4,25,Yes,Poor Management,2015-06-09,40-49,Mid (150k-300k),0-2 Years,Poor
EMP0167,Employee_167,Customer Service,Female,38,Bsc,Senior,12,398064,2.5,Low,4,13,No,,2023-05-15,30-39,Senior (300k-450k),10+ Years,Average
EMP0168,Employee_168,Marketing,Female,36,Msc,Manager,15,155323,2.8,Low,5,27,No,,2008-08-02,30-39,Mid (150k-300k),10+ Years,Average
